"backend","model","policy","rep","n_key","n_num","keyvars","error"
"gpt41","gpt-4.1","confidential",15,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",16,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",16,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",16,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",17,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",17,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",17,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",18,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",18,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",18,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",19,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",19,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",19,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","open",20,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","restricted",20,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
"gpt41","gpt-4.1","confidential",20,9,3,"age;electcon;hhcivil;relat;roof;sex;urbrur;walls;water",FALSE
